Time[S],Range,Func1,Meas1,Func2,Meas2
    1,A:50 mV   ,VOLT      ,2.245176e-05,          ,          
    2,A:50 mV   ,VOLT      ,2.132745e-05,          ,          
    3,A:50 mV   ,VOLT      ,6.726112e-06,          ,          
    4,A:50 mV   ,VOLT      ,-7.490483e-07,          ,          
