Time[S],Range,Func1,Meas1,Func2,Meas2
    1,A:5 V     ,VOLT      ,-0.0001248682,          ,          
    2,A:5 V     ,VOLT      ,-0.0001468231,          ,          
    3,A:5 V     ,VOLT      ,-0.0001719797,          ,          
    4,A:5 V     ,VOLT      ,-0.0001367604,          ,          
    5,A:5 V     ,VOLT      ,-0.0001500248,          ,          
    6,A:5 V     ,VOLT      ,-0.0001953067,          ,          
    7,A:5 V     ,VOLT      ,-0.0002138768,          ,          
