Time[S],Range,Func1,Meas1,Func2,Meas2
    1,A:50 mV   ,VOLT      ,-0.0004062888,          ,          
    2,A:50 mV   ,VOLT      ,-0.0002863581,          ,          
    3,A:50 mV   ,VOLT      ,-0.0004999342,          ,          
    4,A:50 mV   ,VOLT      ,-0.0005122046,          ,          
    5,A:50 mV   ,VOLT      ,-0.001702577,          ,          
    6,A:50 mV   ,VOLT      ,0.01113235,          ,          
    7,A:50 mV   ,VOLT      ,0.005680935,          ,          
    8,A:50 mV   ,VOLT      ,0.0001837283,          ,          
    9,A:50 mV   ,VOLT      ,0.002278121,          ,          
   10,A:50 mV   ,VOLT      ,0.002988985,          ,          
   11,A:50 mV   ,VOLT      ,0.001931166,          ,          
   12,A:50 mV   ,VOLT      ,-0.0008405903,          ,          
   13,A:50 mV   ,VOLT      ,-0.0004720607,          ,          
